2025-10-24 11:21:36.526 [Debug] [Hook] TM:PE priority sign query | nodeId=6015 segmentId=35403 signType=None
2025-10-24 11:21:36.526 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.527 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.528 [Debug] [Hook] TM:PE priority sign query | nodeId=6015 segmentId=21346 signType=None
2025-10-24 11:21:36.529 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.529 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.530 [Debug] [Hook] TM:PE priority sign query | nodeId=29010 segmentId=35407 signType=None
2025-10-24 11:21:36.530 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.532 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.532 [Debug] [Hook] TM:PE priority sign query | nodeId=29010 segmentId=14041 signType=None
2025-10-24 11:21:36.532 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.533 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.535 [Debug] [Hook] TM:PE priority sign query | nodeId=20498 segmentId=24591 signType=None
2025-10-24 11:21:36.535 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
